Subject,Predicate,Object
Isomate-C/OFM,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate-C/OFM,CONTAINS,Z8-12Ac
Isomate-C/OFM,CONTAINS,Z8-12OH ((Z)-8-dodecen-1-ol)
Isomate-C/OFM,CONTAINS,12 OH (1-dodecanol)
Isomate-C/OFM,CONTAINS,14 OH (1-tetradecanol)
Isomate-C/OFM,CONTAINS,E8-12Ac
Isomate-C/OFM,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate-C/OFM,CONTAINS,Z8-12Ac
Isomate-C/OFM,CONTAINS,Z8-12OH ((Z)-8-dodecen-1-ol)
Isomate-C/OFM,CONTAINS,12 OH (1-dodecanol)
Isomate-C/OFM,CONTAINS,14 OH (1-tetradecanol)
Isomate-C/OFM,CONTAINS,E8-12Ac
Isomate-C/OFM,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate-C/OFM,CONTAINS,Z8-12Ac
Isomate-C/OFM,CONTAINS,Z8-12OH ((Z)-8-dodecen-1-ol)
Isomate-C/OFM,CONTAINS,12 OH (1-dodecanol)
Isomate-C/OFM,CONTAINS,14 OH (1-tetradecanol)
Isomate-C/OFM,CONTAINS,E8-12Ac
Isomate-C/OFM,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate-C/OFM,CONTAINS,Z8-12Ac
Isomate-C/OFM,CONTAINS,Z8-12OH ((Z)-8-dodecen-1-ol)
Isomate-CTT,CONTAINS,12 OH (1-dodecanol)
Isomate-CTT,CONTAINS,14 OH (1-tetradecanol)
Isomate-CTT,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate-CTT,CONTAINS,12 OH (1-dodecanol)
Isomate-CTT,CONTAINS,14 OH (1-tetradecanol)
Isomate-CTT,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate C Plus,CONTAINS,12 OH (1-dodecanol)
Isomate C Plus,CONTAINS,14 OH (1-tetradecanol)
Isomate C Plus,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate C Plus,CONTAINS,12 OH (1-dodecanol)
Isomate C Plus,CONTAINS,14 OH (1-tetradecanol)
Isomate C Plus,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR,CONTAINS,12 OH (1-dodecanol)
Isomate CLR,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR,CONTAINS,Z11-14 Ac
Isomate CLR,CONTAINS,Z9-14Ac
Isomate CLR,CONTAINS,12 OH (1-dodecanol)
Isomate CLR,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR,CONTAINS,Z11-14 Ac
Isomate CLR,CONTAINS,Z9-14Ac
Isomate CLR,CONTAINS,12 OH (1-dodecanol)
Isomate CLR,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR,CONTAINS,Z11-14 Ac
Isomate CLR,CONTAINS,Z9-14Ac
Isomate CLR,CONTAINS,12 OH (1-dodecanol)
Isomate CLR,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR,CONTAINS,Z11-14 Ac
Isomate CLR,CONTAINS,Z9-14Ac
Isomate CTT,CONTAINS,12 OH (1-dodecanol)
Isomate CTT,CONTAINS,14 OH (1-tetradecanol)
Isomate CTT,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CTT,CONTAINS,12 OH (1-dodecanol)
Isomate CTT,CONTAINS,14 OH (1-tetradecanol)
Isomate CTT,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR Max,CONTAINS,12 OH (1-dodecanol)
Isomate CLR Max,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR Max,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR Max,CONTAINS,Z11-14 Ac
Isomate CLR Max,CONTAINS,Z9-14Ac
Isomate CLR Max,CONTAINS,12 OH (1-dodecanol)
Isomate CLR Max,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR Max,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR Max,CONTAINS,Z11-14 Ac
Isomate CLR Max,CONTAINS,Z9-14Ac
Isomate CLR Max,CONTAINS,12 OH (1-dodecanol)
Isomate CLR Max,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR Max,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR Max,CONTAINS,Z11-14 Ac
Isomate CLR Max,CONTAINS,Z9-14Ac
Isomate CLR Max,CONTAINS,12 OH (1-dodecanol)
Isomate CLR Max,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR Max,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR Max,CONTAINS,Z11-14 Ac
Isomate CLR Max,CONTAINS,Z9-14Ac
Isomate CLR OFM,CONTAINS,12 OH (1-dodecanol)
Isomate CLR OFM,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR OFM,CONTAINS,E8-12Ac
Isomate CLR OFM,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR OFM,CONTAINS,Z11-14 Ac
Isomate CLR OFM,CONTAINS,Z8-12Ac
Isomate CLR OFM,CONTAINS,Z8-12OH ((Z)-8-dodecen-1-ol)
Isomate CLR OFM,CONTAINS,Z9-14Ac
Isomate CLR OFM,CONTAINS,12 OH (1-dodecanol)
Isomate CLR OFM,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR OFM,CONTAINS,E8-12Ac
Isomate CLR OFM,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR OFM,CONTAINS,Z11-14 Ac
Isomate CLR OFM,CONTAINS,Z8-12Ac
Isomate CLR OFM,CONTAINS,Z8-12OH ((Z)-8-dodecen-1-ol)
Isomate CLR OFM,CONTAINS,Z9-14Ac
Isomate CLR OFM,CONTAINS,12 OH (1-dodecanol)
Isomate CLR OFM,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR OFM,CONTAINS,E8-12Ac
Isomate CLR OFM,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR OFM,CONTAINS,Z11-14 Ac
Isomate CLR OFM,CONTAINS,Z8-12Ac
Isomate CLR OFM,CONTAINS,Z8-12OH ((Z)-8-dodecen-1-ol)
Isomate CLR OFM,CONTAINS,Z9-14Ac
Isomate CLR OFM,CONTAINS,12 OH (1-dodecanol)
Isomate CLR OFM,CONTAINS,14 OH (1-tetradecanol)
Isomate CLR OFM,CONTAINS,E8-12Ac
Isomate CLR OFM,CONTAINS,"E8E10-12 OH (E,E-8.10-dodecadien-1-ol; Codlemone)"
Isomate CLR OFM,CONTAINS,Z11-14 Ac
Isomate CLR OFM,CONTAINS,Z8-12Ac
